"Course Term Select","SCABASE Start Term","Subj Code","Course Number","Course Desc","College Code","College Desc","Division Code","Division Desc","Dept Code","Dept Desc","Status Code","Status Desc","Credit Hours","Level1 Code","Level2 Code","Level3 Code","Attribute Level Code","Course Long Desc","Exclude From ART/Degree Classification","Web Semester Code","Web Semester Desc","MOMD Ind","WHM Ind","Web Display Ind","CRN","Section Camp Code","Section Camp Desc","Maximum Enrollment","Module Creation Date","Module Lead Name","Module Lead ID","Elective Ind","Section Status Code","SCABASE End Term"
"002026","002008","01","22131","LM Anaesthesia Clinic Practice","14","College Medicine and Health","083","School of Medical Sciences","215","Birmingham Medical School","A","Active","30","GT","","","LM","Anaesthesia in Clinical Practice","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002008","11","21702","LM Work with Org + Comm","12","College Social Sciences","020","School of Education","231","Disab, Inclusion & Spec Needs","A","Active","30","GR","GT","","LM","Working with Organisations and Communities","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002008","07","22284","LH Strategic Man (Singapore)","12","College Social Sciences","012","Birmingham Business School","252","Strategy and Int Business","A","Active","20","UG","","","LH","LH Strategic Management","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002009","09","22595","LI Tonality:Introduction","11","College Arts and Law","049","Lan, Cult, Art Hist & Music","134","Music","D","Dormant (but will run later)","20","UG","","","LI","LI Tonality: An Introduction","N","5","Semester 1","N","N","N","","","","","","","","","","999999"
"002026","002009","11","22704","LI Teach & Learn in Schools","12","College Social Sciences","020","School of Education","229","Education & Social Justice","A","Active","20","UG","","","LI","LI Teaching and Learning in Schools","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002009","06","21923","LM Fundamentals: Databases","13","College Eng and Physical Sci","016","Computer Science","016","Computer Science","A","Active","10","GT","","","LM","Fundamentals: Databases","N","5","Semester 1","N","N","N","","","","","","","","","","999999"
"002026","002009","09","22849","LH Jes Christ Holy Trinity Osc","11","College Arts and Law","050","Phil, Theology and Religion","150","Theology and Religion","A","Active","20","UG","","","LH","Jesus Christ and the Holy Trinity","N","1","Full Term","N","N","Y","","","","","","","","","","999999"
"002026","002009","03","22949","LM River Restoration","10","College Life and Env Sci","022","School of Geog Earth & Env Sci","022","Geography","A","Active","20","GT","","","LM","LM River Restoration","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002010","02","23397","LH From Genes to Therapy","14","College Medicine and Health","083","School of Medical Sciences","128","Inst of Cancer / Genomic Sci","A","Active","30","UG","","","LH","LH From Genes to Therapy","N","5","Semester 1","N","N","N","","","","","","","","","","999999"
"002026","002010","07","23725","LM Contemp Iss Work, Emp, Peop","12","College Social Sciences","012","Birmingham Business School","261","Management","D","Dormant (but will run later)","10","GT","","","LM","LM Contemporary issues in Work, Employment and People Management","N","6","Semester 2","N","N","Y","","","","","","","","","","999999"
"002026","002011","04","24098","LM Principles of Comm Systems","13","College Eng and Physical Sci","080","School of Engineering","021","Elec, Elec & Sys Engineering","A","Active","30","GT","","","LM","Principles of Communication Systems","N","5","Semester 1","N","N","Y","","","","","","","","","","999999"
