"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"12","College Social Sciences","020","School of Education","Teacher Education","","","228","654B","PGCE Prim Harborne Prim Sch SD","Primary (School Direct)","N","01","Full-time according to funding coun","B","Birmingham","10","065","Postgraduate Certificate in Education","N","N","X120","Training teachers - primary","","","","","0110","University of Birmingham","","","","","2","Months","228","Teacher Education","",""
"11","College Arts and Law","047","History and Cultures","History","","","225","702B","PGCert Early Modern History AQ","Early Modern History","N","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","225","History","",""
"13","College Eng and Physical Sci","016","Computer Science","Computer Science","","","016","762B","EPS/Melb Joint PhD 3.5 Comp Sc","","Y","01","Full-time according to funding coun","J","Joint Institutions","42","057","Doctor of Philosophy","N","N","I100","Computer science","","","","","0110","University of Birmingham","Z141","University of Melbourne","","","2","Months","016","Computer Science","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","769B","EPS/Melb Joint PhD 3.5 Chem En","","Y","01","Full-time according to funding coun","J","Joint Institutions","42","057","Doctor of Philosophy","N","N","H800","Chemical, process & energy enginee","","","","","0110","University of Birmingham","Z141","University of Melbourne","","","2","Months","013","Chemical Engineering","",""
"14","College Medicine and Den Sci","078","Inst Microbiology / Infection","Inst of Microb and Infection","","","259","804B","PhD Wellcome Trust (AAMR)","","N","01","Full-time according to funding coun","B","Birmingham","4","057","Doctor of Philosophy","N","N","A300","Clinical medicine","C500","Microbiology","","","0110","University of Birmingham","","","","","1","Year(s)","259","Inst of Microb and Infection","",""
"14","College Medicine and Den Sci","023","Inst of Applied Health Res","Inst of Applied Health Res","","","216","899B","MD Applie Health Res FT (B900)","","Y","01","Full-time according to funding coun","B","Birmingham","2","062","Doctor of Medicine","N","N","B900","Others in subjects allied to medici","","","","","0110","University of Birmingham","","","","","1","Year(s)","216","Inst of Applied Health Res","",""
"14","College Medicine and Den Sci","076","Inst of Cardiovascular Science","Inst of Card Sciences","","","106","903B","MD Cardio Sci PT (A300)","","N","31","Part-time","B","Birmingham","4","062","Doctor of Medicine","N","N","A300","Clinical medicine","","","","","0110","University of Birmingham","","","","","1","Year(s)","106","Inst of Card Sciences","",""
"14","College Medicine and Den Sci","076","Inst of Cardiovascular Science","Inst of Card Sciences","","","106","904B","MD Cardio Sci PT (B100)","","Y","31","Part-time","B","Birmingham","4","062","Doctor of Medicine","N","N","B100","Anatomy, physiology & pathology","","","","","0110","University of Birmingham","","","","","1","Year(s)","106","Inst of Card Sciences","",""
"14","College Medicine and Den Sci","067","Immunity and Infection","Inst of Immunology","","","173","937B","MD Immunol + Immunot PT (C500)","","Y","31","Part-time","B","Birmingham","4","062","Doctor of Medicine","N","N","C500","Microbiology","","","","","0110","University of Birmingham","","","","","1","Year(s)","173","Inst of Immunology","",""
"14","College Medicine and Den Sci","065","Cancer Studies","Inst of Cancer / Genomic Sci","","","128","938B","PhD Cancer + Genomic FT (A300)","","N","01","Full-time according to funding coun","B","Birmingham","4","057","Doctor of Philosophy","N","N","A300","Clinical medicine","","","","","0110","University of Birmingham","","","","","1","Year(s)","128","Inst of Cancer / Genomic Sci","",""
