"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"12","College Social Sciences","035","School of Social Policy","Soc Policy, Sociology & Crimin","","","262","001D","BA Socio + Crim w year Ab FT","Sociology and Criminology with Year Abroad","N","01","Full-time","B","Birmingham","4","003","Bachelor of Arts","N","N","L300","Sociology","L611","Criminological theory","","","0110","University of Birmingham","","","","","1","Year(s)","262","Soc Policy, Sociology & Crimin","",""
"13","College Eng and Physical Sci","032","Physics and Astronomy","Physics & Astronomy","","","032","0025","PG VRS Physics FT","Physics","Y","01","Full-time","B","Birmingham","12","134","Visiting Research Student","N","N","F300","Physics","","","","","0110","University of Birmingham","","","","","2","Months","032","Physics & Astronomy","",""
"10","College Life and Env Sci","022","School of Geog Earth & Env Sci","Earth and Environ Sciences","","","019","0083","PG VRS Earth Sciences PT","Earth Sciences (occasional)","N","31","Part-time.","B","Birmingham","12","134","Visiting Research Student","N","N","F600","Geology","","","","","0110","University of Birmingham","","","","","2","Months","019","Earth and Environ Sciences","",""
"10","College Life and Env Sci","022","School of Geog Earth & Env Sci","Geography","","","022","0099","PGDip Ap Meteor + Climatol FT","Applied Meteorology and Climatology","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","022","Geography","",""
"11","College Arts and Law","050","Phil, Theology and Religion","Philosophy","","","140","010D","MA Phil Rel + Ethi DL PT Fixed","Philosophy of Religion and Ethics","N","31","Part-time.","D","Distance Education","2","038","Master of Arts","N","N","V500","Philosophy","V620","Religious studies","V520","Moral philosophy","0110","University of Birmingham","","","","","1","Year(s)","140","Philosophy","",""
"10","College Life and Env Sci","038","School of Bioscience","School of Biosciences","","","038","0124","BSc Biol Sci (Genetics) FT","Biological Sciences (Genetics)","N","01","Full-time","B","Birmingham","3","004","Bachelor of Science","N","N","C910","Applied biological sciences","","","","","0110","University of Birmingham","","","","","1","Year(s)","038","School of Biosciences","",""
"13","College Eng and Physical Sci","014","Chemistry","Chemistry","","","014","0140","UG Aff Chemistry FT","Chemistry (Occasional)","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","F100","Chemistry","","","","","0110","University of Birmingham","","","","","1","Year(s)","014","Chemistry","",""
"13","College Eng and Physical Sci","016","Computer Science","Computer Science","","","016","0144","BSc Art Intel + Comp Sci FT","Artificial Intelligence and Computer Science","N","01","Full-time","B","Birmingham","3","004","Bachelor of Science","N","N","I100","Computer science","I400","Artificial intelligence","","","0110","University of Birmingham","","","","","1","Year(s)","016","Computer Science","",""
"10","College Life and Env Sci","022","School of Geog Earth & Env Sci","Earth and Environ Sciences","","","019","0160","BSc Geology FT","Geology","N","01","Full-time","B","Birmingham","3","004","Bachelor of Science","N","N","F600","Geology","","","","","0110","University of Birmingham","","","","","1","Year(s)","019","Earth and Environ Sciences","",""
"12","College Social Sciences","020","School of Education","Education & Social Justice","","","229","016F","DipHE Education w Year Abr AQ","Education with Year Abroad","N","","","B","Birmingham","","097","Diploma of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","229","Education & Social Justice","",""
"12","College Social Sciences","020","School of Education","Education & Social Justice","262","Soc Policy, Sociology & Crimin","229","018F","DipHE Ed & Soc w Yr Abr FT AQ","Education and Sociology with Year Abroad","N","","","B","Birmingham","","097","Diploma of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","229","Education & Social Justice","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","019D","MA Internat Polit Economy FT","International Political Economy","N","01","Full-time","B","Birmingham","1","038","Master of Arts","N","N","L200","Politics","","","","","0110","University of Birmingham","","","","","1","Year(s)","142","Political Sci & Intern'tl Stud","",""
"13","College Eng and Physical Sci","032","Physics and Astronomy","Physics & Astronomy","","","032","0204","UG Aff Physics FT","Physics (Occasional)","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","F300","Physics","","","","","0110","University of Birmingham","","","","","1","Year(s)","032","Physics & Astronomy","",""
"12","College Social Sciences","053","Government","Political Sci & Intern'tl Stud","","","142","022D","PGDip Intern Polit Economy FT","International Political Economy","N","01","Full-time","B","Birmingham","10","001","Postgraduate Diploma","N","N","L200","Politics","","","","","0110","University of Birmingham","","","","","2","Months","142","Political Sci & Intern'tl Stud","",""
"10","College Life and Env Sci","036","Sport, Ex and Rehab Sciences","Sport, Ex and Rehab Sciences","","","036","0246","BSc Sport + Ex Sciences FT","Sport and Exercise Sciences","N","01","Full-time","B","Birmingham","3","004","Bachelor of Science","N","N","C600","Sports science","","","","","0110","University of Birmingham","","","","","1","Year(s)","036","Sport, Ex and Rehab Sciences","",""
"13","College Eng and Physical Sci","032","Physics and Astronomy","Physics & Astronomy","029","Mathematics","032","0260","MSci Theo Phys + App Maths FT","Theoretical Physics and Applied Mathematics","Y","01","Full-time","B","Birmingham","4","096","Master in Science","N","N","F300","Physics","G120","Applied mathematics","","","0110","University of Birmingham","","","","","1","Year(s)","032","Physics & Astronomy","",""
"10","College Life and Env Sci","022","School of Geog Earth & Env Sci","Geography","","","022","0268","UG Aff Environmental Sci FT","Environmental Science : Occasional","N","01","Full-time","B","Birmingham","1","073","Undergraduate Affiliate","N","N","F800","","","","","","0110","University of Birmingham","","","","","1","Year(s)","022","Geography","",""
